Timestamp,ID,Data,Parsed Data
1739436908.5223403,513,b'\xfd\xff\xae\x00M\xff\x00\x00',"""Ia=-0.3A, Ib=17.4A, Ic=-17.9A"""
1739436908.5223403,514,b'\xb0\x08\x84\x08h\x08\xfa\x00',"""Va=222.4V, Vb=218.0V, Vc=215.2V, T=25.0\u00b0C"""
1739436908.5223403,515,b'\x00\x00\x00\x00\x03\x00\x01\x00',"""Speed=0rpm, Target=0rpm, Torque=0.3A"""
1739436908.5324752,513,b'\t\x00\xa5\x00N\xff\x00\x00',"""Ia=0.9A, Ib=16.5A, Ic=-17.8A"""
1739436908.5324752,514,b'\x83\x08\xae\x08\x88\x08\xfa\x00',"""Va=217.9V, Vb=222.2V, Vc=218.4V, T=25.0\u00b0C"""
1739436908.5324752,515,b'\x00\x00\x00\x00\t\x00\x01\x00',"""Speed=0rpm, Target=0rpm, Torque=0.9A"""
1739436908.5430748,513,b'\x02\x00\xac\x00O\xff\x00\x00',"""Ia=0.2A, Ib=17.2A, Ic=-17.7A"""
1739436908.5430748,514,b'\xc3\x08k\x08k\x08\xfa\x00',"""Va=224.3V, Vb=215.5V, Vc=215.5V, T=25.0\u00b0C"""
1739436908.5430748,515,b'\x00\x00\x00\x00\x02\x00\x01\x00',"""Speed=0rpm, Target=0rpm, Torque=0.2A"""
1739436908.5535617,513,b'\xf8\xff\xb7\x00N\xff\x00\x00',"""Ia=-0.8A, Ib=18.3A, Ic=-17.8A"""
1739436908.5535617,514,b'f\x08t\x08\xb2\x08\xfa\x00',"""Va=215.0V, Vb=216.4V, Vc=222.6V, T=25.0\u00b0C"""
1739436908.5535617,515,b'\x00\x00\x00\x00\x08\x00\x01\x00',"""Speed=0rpm, Target=0rpm, Torque=0.8A"""
1739436908.5636196,513,b'\xfe\xff\xb1\x00T\xff\x00\x00',"""Ia=-0.2A, Ib=17.7A, Ic=-17.2A"""
1739436908.5636196,514,b'\x84\x08\xb5\x08\x88\x08\xfa\x00',"""Va=218.0V, Vb=222.9V, Vc=218.4V, T=25.0\u00b0C"""
1739436908.5636196,515,b'\x00\x00\x00\x00\x02\x00\x01\x00',"""Speed=0rpm, Target=0rpm, Torque=0.2A"""
1739436908.5746527,513,b'\x06\x00\xa7\x00J\xff\x00\x00',"""Ia=0.6A, Ib=16.7A, Ic=-18.2A"""
1739436908.5746527,514,b'm\x08t\x08\x95\x08\xfa\x00',"""Va=215.7V, Vb=216.4V, Vc=219.7V, T=25.0\u00b0C"""
1739436908.5746527,515,b'\x00\x00\x00\x00\x06\x00\x01\x00',"""Speed=0rpm, Target=0rpm, Torque=0.6A"""
1739436908.5857549,513,b'\xfd\xff\xb4\x00L\xff\x00\x00',"""Ia=-0.3A, Ib=18.0A, Ic=-18.0A"""
1739436908.5857549,514,b'\x85\x08\x88\x08\xac\x08\xfa\x00',"""Va=218.1V, Vb=218.4V, Vc=222.0V, T=25.0\u00b0C"""
1739436908.5857549,515,b'\x00\x00\x00\x00\x03\x00\x01\x00',"""Speed=0rpm, Target=0rpm, Torque=0.3A"""
1739436908.5960882,513,b'\xfa\xff\xb5\x00\\\xff\x00\x00',"""Ia=-0.6A, Ib=18.1A, Ic=-16.4A"""
1739436908.5960882,514,b'\xc0\x08j\x08f\x08\xfa\x00',"""Va=224.0V, Vb=215.4V, Vc=215.0V, T=25.0\u00b0C"""
1739436908.5960882,515,b'\x00\x00\x00\x00\x06\x00\x01\x00',"""Speed=0rpm, Target=0rpm, Torque=0.6A"""
1739436908.606285,513,b'\x03\x00\xaa\x00Y\xff\x00\x00',"""Ia=0.3A, Ib=17.0A, Ic=-16.7A"""
1739436908.606285,514,b'\x9f\x08\x81\x08\x86\x08\xfa\x00',"""Va=220.7V, Vb=217.7V, Vc=218.2V, T=25.0\u00b0C"""
1739436908.606285,515,b'\x00\x00\x00\x00\x03\x00\x01\x00',"""Speed=0rpm, Target=0rpm, Torque=0.3A"""
1739436908.616804,513,b'\xfb\xff\xb1\x00Y\xff\x00\x00',"""Ia=-0.5A, Ib=17.7A, Ic=-16.7A"""
1739436908.616804,514,b'\x9b\x08k\x08~\x08\xfa\x00',"""Va=220.3V, Vb=215.5V, Vc=217.4V, T=25.0\u00b0C"""
1739436908.616804,515,b'\x00\x00\x00\x00\x05\x00\x01\x00',"""Speed=0rpm, Target=0rpm, Torque=0.5A"""
1739436908.6271768,513,b'\xfd\xff\xa5\x00K\xff\x00\x00',"""Ia=-0.3A, Ib=16.5A, Ic=-18.1A"""
1739436908.6271768,514,b'\xbb\x08\xc3\x08g\x08\xfa\x00',"""Va=223.5V, Vb=224.3V, Vc=215.1V, T=25.0\u00b0C"""
1739436908.6271768,515,b'\x00\x00\x00\x00\x03\x00\x01\x00',"""Speed=0rpm, Target=0rpm, Torque=0.3A"""
1739436908.6377323,513,b'\x01\x00\xa3\x00Y\xff\x00\x00',"""Ia=0.1A, Ib=16.3A, Ic=-16.7A"""
1739436908.6377323,514,b's\x08\x9b\x08\x87\x08\xfa\x00',"""Va=216.3V, Vb=220.3V, Vc=218.3V, T=25.0\u00b0C"""
1739436908.6377323,515,b'\x00\x00\x00\x00\x01\x00\x01\x00',"""Speed=0rpm, Target=0rpm, Torque=0.1A"""
1739436908.6483867,513,b'\xf9\xff\xa8\x00O\xff\x00\x00',"""Ia=-0.7A, Ib=16.8A, Ic=-17.7A"""
1739436908.6483867,514,b'\xb5\x08\x95\x08\xa2\x08\xfa\x00',"""Va=222.9V, Vb=219.7V, Vc=221.0V, T=25.0\u00b0C"""
1739436908.6483867,515,b'\x00\x00\x00\x00\x07\x00\x01\x00',"""Speed=0rpm, Target=0rpm, Torque=0.7A"""
1739436908.659229,513,b'\xfa\xff\xac\x00S\xff\x00\x00',"""Ia=-0.6A, Ib=17.2A, Ic=-17.3A"""
1739436908.659229,514,b'\x8c\x08\xbe\x08\x9c\x08\xfa\x00',"""Va=218.8V, Vb=223.8V, Vc=220.4V, T=25.0\u00b0C"""
1739436908.659229,515,b'\x00\x00\x00\x00\x06\x00\x01\x00',"""Speed=0rpm, Target=0rpm, Torque=0.6A"""
1739436908.6702185,513,b'\xff\xff\xad\x00S\xff\x00\x00',"""Ia=-0.1A, Ib=17.3A, Ic=-17.3A"""
1739436908.6702185,514,b'\x9b\x08j\x08x\x08\xfa\x00',"""Va=220.3V, Vb=215.4V, Vc=216.8V, T=25.0\u00b0C"""
1739436908.6702185,515,b'\x00\x00\x00\x00\x01\x00\x01\x00',"""Speed=0rpm, Target=0rpm, Torque=0.1A"""
1739436908.6803644,513,b'\x02\x00\xb1\x00M\xff\x00\x00',"""Ia=0.2A, Ib=17.7A, Ic=-17.9A"""
1739436908.6803644,514,b'i\x08o\x08\x9e\x08\xfa\x00',"""Va=215.3V, Vb=215.9V, Vc=220.6V, T=25.0\u00b0C"""
1739436908.6803644,515,b'\x00\x00\x00\x00\x02\x00\x01\x00',"""Speed=0rpm, Target=0rpm, Torque=0.2A"""
